Negative Tweet,Negative Score,Cluster
adhd common problems,0.574,1
trauma bonding,0.737,1
abolish death penalty politics deathpenalty,0.697,1
lawyers accessed sexual assault records,0.487,2
bungie supposed hard risen impulse,0.259,0
bungie crota went enraged without warning,0.309,0
cant click friends profiles error pops says later,0.467,2
benbuckwalter diagnosed depression anxiety admitted mental hospital last year,0.422,2
getting tired shit fuck,0.909,1
realkurtangle loser unemployable depression friend going soon make proud angie,0.366,2
jaguars lucky jobs unemployable never gonna make proud going soon depression angie,0.346,2
dawkosgames feel diagnosed moderate severe depression friday since hard,0.562,2
dallas susan hawk town hall meeting personal struggle mental illness diagnosed depression,0.492,2
crosses placed memory dumped dogs along dowdy ferry road,0.252,0
crosses placed along dowdy ferry dallas dead animals dumped since august,0.438,2
jdmiles breaking missing frisco woman found dead kids alive unharmed taken hospital,0.359,2
sevenyearold girl jumps stolen dallas fort worth,0.317,0
yrold dallas girl jumped moms stolen thief driving away hear story,0.423,2
video five teenagers arrested connection armed robbery chase dallas story,0.256,0
never prouder team years coaching coach boehiem syracuse,0.273,0
teens arrested connection armed robbery police chase dallas neighborhood story,0.256,0
convert negative stress positive problems whether small handled well,0.487,2
salinas woman tries conquer cancer stay positive control attitude explained,0.275,0
learning bodypositive journey decision negative thoughts completely gone,0.346,2
national epidemic national shame drug addiction claims another life addicts founder,0.237,0
today change addiction deeply saddened hear death daniel francis montalbano daniel,0.466,2
breaking cycle addiction pain past motivate future becky vollmer,0.256,0
although official statistics often death penalty carried drug offences harm,0.681,1
suicidethe leading cause death addiction second leading reason committing suicidecdc familiesneedtoknow,0.275,0
harm reduction important,0.556,2
talkingdrugs thefix families start raising voice outcry hanging heads shame,0.444,2
mikewynncj govstevebeshear time pass heroin bill courierjournal kyga,0.314,0
instruction manual never told would hard heroin changeaddictionnow,0.305,0
anthonys providing suffering addiction real chance recovery moveon,0.279,0
stressing broken rash havent since diagnosed depression years,0.543,2
dormiensdraco fuck cancer honestly fuck cancer first david bowie alan rickman stop taking away brilliant people,0.533,2
thatssarcasm hate disappointing people,0.775,1
nashgrier camerondallas miss cash,0.348,2
mikecastic fandom bored calumgotatonguepiercing,0.412,2
either bored trying ignore drama calumgotatonguepiercing,0.535,2
sostumblrx calum damn important,0.415,2
broken scene,0.756,1
sosdaily fucking hell,0.71,1
mariaritaferraz sosfamupdater watch delete blame alcohol,0.324,0
mnwild takes penalty mnwild minvsstl,0.429,2
mnwild zucker draws penalty mnwild,0.429,2
sosfamupdater want next album band mean something instead pointless shit thats radio,0.242,0
sosfamupdater real issues everyone room everyone watching home everyones problems,0.231,0
sosfamupdater wanna band wanna shit going well ashton,0.308,0
malum moments fucked,0.688,1
sostumblrx ashton broken scene live thenewbrokenscene,0.383,2
sosfamupdater words cant describe proud thenewbrokenscene,0.338,0
carlieesos friend threw paper calum screaming hurt calumsos youre still babe,0.349,2
sostumblrx wrapped around finger fuck fucking,0.412,2
sostumblrx broken scene issues problems demons live real fuckin world,0.42,2
sostumblrx shell broken scene bitches thenewbrokenscene,0.636,1
camerondallas cant help stare,0.429,2
lukesos broken scene atlanta,0.508,2
sostumblrx michael scared almost shat pants,0.367,2
sostumblrx think dead,0.683,1
sostumblrx explanation sgfg kill people,0.54,2
ashtonsos thought album release week stressful witnessed matt damon grow potatoes mars themartian,0.216,0
girl cries wolf everyday ignored gravity,0.556,2
sosfamupdater sosdaily tried light fart fire accidentally burned michael clifford,0.375,2
target iheartradio plaid never looked good rock calumsos,0.256,0
themattespinosa sick,0.767,1
imalexholtti lets chill watch american horror story,0.381,2
sosdaily calum singing morning voice holy shit raspy shit kill,0.63,1
jackjackjohnson shit,0.783,1
sorry diagnosed depression,0.833,1
pentaholic fake smile expert,0.408,2
pentaholic skinny pathetic ugly awkward dumb assuming boring shit,0.856,1
sick motherfucking shit kaitlyn yeah gonna fucking call stop trying make shit even worse,0.684,1
wrist covered soaked blood tears,0.322,0
dont realize much feel like shit,0.356,2
hate cuts cuts cuts constantly,0.912,1
hate made hurt much hurt cuts,0.864,1
hate fact caused much pain cuts,0.754,1
hate fact cared cuts,0.608,1
hate fact kept cuts,0.747,1
feelingthepain worst kind pain smile keep tears falling,0.58,1
feelingthepain forget,0.655,1
feelingthepain pain,0.767,1
feelingthepain hide feel people,0.362,2
feelingthepain tired everything,0.592,1
feelingthepain behind smile world pain,0.375,2
name wrong cutting isnt,0.697,1
hope everyone cutforbieber shit knows theyre getting something theyll never cuttingisntajoke,0.232,0
whoever came cutbieber shit stupid,0.7,1
feelingthepain pain pain away slit wrists fade,0.569,2
cutting like smoking start hard stop,0.531,2
diagnosed depression grade damned wasnt funniest class,0.698,1
favianx niggas dumb,0.851,1
brisonaintshiit anxiety worst thing someone thru anyone says,0.492,2
weak,1.0,1
knew going threw puberty grade english teacher eating banana thinking damn mouf,0.197,0
javonkdl damn acting like youd fucked,0.563,2
exhausted lately,0.714,1
thaharos damn sorry hear shoes,0.571,1
jacobalfaro thought gonna legit site hate,0.425,2
wolfofwillowst dont matter good look much money dont brain functions higher level,0.258,0
wolfofwillowst dont someone knowing aint really want think mold something,0.138,0
anyways fuck broncos,0.636,1
robbyrobtt suffer silence,0.636,1
nervous fuck,1.0,1
fuck broncos though,0.636,1
fuck broncos good morning,0.417,2
thedouch making patriots losing game like last time lost wasnt,0.34,0
fuck need gronk,0.636,1
demar eaglescentral eagles going face angriest patriots team world next week picking patriots,0.255,0
bouta schleep lost pissed tired,0.825,1
pissed till next sunday smash eagles,0.457,2
stressed game going check tomorrow telling possession charge,0.255,0
everybody talking shit patriots suck dick watch superbowl,0.662,1
edelman amendola lewis gronk wasnt help,0.311,0
offense second string,0.5,2
wearing shit thats cause game,0.474,2
bodiddy youll three hour days community service dump sheriff dept year interlockdwi,0.191,0
bodiddy diddly bodiddy interlock bullshit pain monthly check,0.542,2
jrayrichardson thing guilty thinking ahead stressing relax live,0.402,2
lucyr cold sikeeeee sinuses ruining life,0.286,0
capnwontsaveaho real shit,0.643,1
spend much time dwelling shit cant change enough time focusing,0.283,0
sinus congestion worst part winter,0.506,2
lonesome,1.0,1
hell,1.0,1
diagnosed depression suicidal proper medical care friends family helped keep going payouthforum,0.364,2
eating alone dont move invite join palo alto youth payouthforum,0.432,2
feel stress radiating people finals week mental breakdowns palo alto youth payouthforum,0.203,0
yeah forgot mention yesterday appointment diagnosed severe depression severe anxiety surprising,0.533,2
ever done something piss,0.474,2
nortnic barber would like fuck,0.389,2
today couldnt gone better,0.445,2
parents literally weebs theyve hiding powerlevel time notice,0.239,0
asked knew cosplaying said asked familiar anime really offended,0.223,0
marisadesu grapfics bbut hack looks ugly,0.398,2
anon hate,0.787,1
agdq huniepop homie hard speed youtube,0.219,0
show emotions people especially likely hide emotions express,0.22,0
pendantkun complaining,0.643,1
saikobayashi loathe live neet idol project,0.39,2
lynxyounerd wait dont like pineapples,0.345,0
means theres literally faster margin alone without making morpho land faster impossible,0.154,0
holy shit,0.783,1
assnips damn whyd move,0.474,2
assnips cities shit,0.643,1
murderkube cata marked beginning disappointing,0.444,2
think dont really looks nice guess,0.337,0
disappointing moviegamebook sequel world warcraft cataclysm,0.39,2
think hatred shoul absolutely,0.583,1
suck dicks,0.744,1
whats opinion mobagames league dota dont like,0.26,0
pretentious pieces inherently inferior absolutely,0.403,2
ssmangos badboykevin frog prince curse dildos,0.412,2
solazz poor solazz,0.608,1
diagnosed dissociative identity disorderptsdocd struggle anxietypanic attacksdepressionim open,0.247,0
take medication mental illness someone would take medication physical ailment shame,0.392,2
mental health month tweets mental illness youll know,0.278,0
basically typing numbers terrible abbreviations assume ranting trying stay within character limit,0.22,0
phrase totally invalidates victims experience invalidate excuses disgusting excuses,0.461,2
sayeverybody makes mistakes defend someone convicted crimeu need learn diff mistakeampdecision commit crime,0.33,0
barrettweed guys people going every damn life norm problem fuels,0.403,2
btryback boys boys really nice saying boys assholes,0.295,0
whenever someone dont know follows like dont know found warned inevitably disappointed,0.325,0
session takes mental emotional toll exhausted every sense wait week,0.207,0
tomorrowup readyrush traffic appt long traffic drive back mins irritation repeat every thursday,0.216,0
diagnosed depression understand tweets,0.552,2
theteenshub give back kind ache pain medicine relieve hurt stomach laughing hard,0.431,2
fuck,1.0,1
fucking hate feeling feel,0.514,2
theteenshub want person youre afraid lose,0.338,0
insuiting nice person hate everyone,0.389,2
look came going annoying neighbours today mcbusted mcbustedairguitar,0.278,0
caught teenmom earth look kids cant even look dogs sickening,0.274,0
jamesbourne askjb would rather fight sized cockroach horse sized,0.245,0
tommannmusic stereokicks youll smash doubt,0.385,2
diagnosed depression nuuuu,0.649,1
horrible make worse moms upset didnt remember birthday middle,0.605,1
stubbed think cutting foot would hurt less,0.495,2
love dont know invader pray burn hell,0.445,2
story michael ugliest town ugly weak called freak lived underground,0.683,1
literally crying cause missed episode,0.639,1
lohanthanyfreak hate,0.787,1
lohanthanyfreak stop,0.688,1
please tell watch catfish episode youtube something crying sjdkd,0.25,0
lohanthanyfreak omfg missed,0.524,2
health boring,0.697,1
ignorant took chromebook yesterday half dead,0.615,1
reason dont like councillors theyre fake,0.566,2
allthxngsozzie darling sadly mistaken,0.525,2
allthxngsozzie wish could kill away like sims cant,0.315,0
ship phan hard,0.412,2
allthxngsozzie like crazy obsessive ones icons shit,0.59,1
allthxngsozzie wavy aint straight wavy,0.294,0
allthxngsozzie damn straight,0.482,2
allthxngsozzie yesss needs okay shit shit everything,0.55,2
wanna like crushes cause main noticed presence ever,0.254,0
judging twitter much said twittering twit sounds wrong many levels cant,0.237,0
gasp hate another gasp fucks away,0.63,1
teasing horribly,1.0,1
spent past minutes stalking kidz regrets,0.333,0
alsanosirshad diagnosed severe depression couple years follow back private need advice,0.412,2
jazzygrape kieranwood veganrevoiution theres brain test depression aware diagnosed,0.316,0
jazzygrape kieranwood veganrevoiution actually sure depression comes serotonin thing theory think,0.247,0
kieranwood jazzygrape veganrevoiution people think conspiracy told impacts emotional wellbeing,0.262,0
veganrevoiution jazzygrape trying prevent murder destruction planet shoving lifestyle please educate,0.447,2
veganrevoiution jazzygrape depression lessened knowing harming beings taste preferences normal sure,0.415,2
veganrevoiution jazzygrape thing says tried vegan didnt help trying figure animal product,0.17,0
meatfreeathlete veganrevoiution dcagslift bears salmon might well contribute suffering even resources,0.218,0
veganrevoiution samanthashorkey meatfreeathlete dcagslift people realize dont need meat survive reasons frantic,0.209,0
veganrevoiution could favour block report account created hater eatallanimals,0.365,2
melanthinicole thatgirlhas long take adjust always start ruin wearing makeup clear,0.247,0
ignoring someone evil manipulative thing,0.703,1
morethanmeat veganchatroom veganfoodrecipe mean except kill animals slaughterhouse perfectly aware,0.278,0
thekatvond shame admitting weve things wrong,0.608,1
thekatvond hard empathize upset recent killing innocent,0.609,1
vegantweeter chloecoscarellis vegan spot bychefchloe incredible bring doubting nonvegans http,0.211,0
seashepherdusa guys vegan heard conflicting info,0.351,2
laiqalasse veganrevoiution eating meat still killing animal wanted live full life like,0.26,0
laiqalasse veganrevoiution kill things love family little sister cant love someone kill,0.364,2
laiqalasse veganrevoiution actually disgusting abuse torture killing animals,0.799,1
laiqalasse veganrevoiution defend human abuse victim still believing shouldntbe abusing animalsactually makes sense,0.482,2
laiqalasse veganrevoiution might relate animals abused little would think speak cant,0.248,0
laiqalasse veganrevoiution abuse something,0.583,1
veganstart nope brands like gardein beyondmeat lets simply remove animals equation vegan,0.161,0
theveganqueen humans food chain though killing lion fine right work appl,0.289,0
lorindabrook sure youre misinterpreting shitty attitude trying logic mowing grass shooting,0.242,0
lillygotdembuns veganrevoiution already dead hungry sliced piece,0.417,2
ajnagyptian always forget,0.487,2
veganrevoiution drippinglotus judgement become thing kill someone judge wrongsimple,0.37,2
veganrevoiution drippinglotus need knowwww kill people spare time,0.402,2
rfdevere xgroverx many good vegan bacons need dead pigs lightlife,0.283,0
veganrevoiution scares deluded people support murder people drippinglotus cannibalism,0.449,2
bbambz yall bout lion confused,0.365,2
audreykitching whats wrong humans like wired contradicting ways people make unco,0.34,0
xgroverx joker voice cows killed year pigs says anything kill lion everyone,0.467,2
itcanwait youd surprised miss tweet drive panda handing pizza bummer itcanwait,0.298,0
anyone knows mean truely knows knows back diagnosed severe depression,0.441,2
talking dead point tonight thewalkingdead twdseasonpremiere thetalkingdead,0.417,2
diagnosed anxiety depression struggles overcome single mother person somebody,0.568,2
adam thank relate diagnosed also struggled depression anxiety adolescent,0.51,2
today hard spent reading lithium tomorrow call pdoc,0.167,0
reblog book club tumblr chosen courtneys book rage book next months excited books bookclubs,0.2,0
avoid llmds like plague suspect tick illness,0.563,2
tomorrow diagnosed depression years still find really tough deal speak,0.407,2
talk problems sucks,0.839,1
want date fuck arianagrande,0.515,2
dont care tonight watching incredibles fucks given,0.534,2
rosscampbell hahahahhaha everyone attacks crazy,0.639,1
rosscampbell dragon peanut butter jealous,0.429,2
rosscampbell feel pain brother,0.524,2
rosscampbell someone stole wasnt happy last statue complete island,0.273,0
calling first child karma shes bitch,0.432,2
hate revision,0.787,1
exhausted,1.0,1
camilacabello seriously,0.63,1
belfast city centre grim today,0.481,2
actually exhausted,0.714,1
mazzie actually think increases risk twins,0.296,0
ally saudi arabia sentences woman convicted adultery death stoning,0.322,0
think dont agree cant help think views challenged debated,0.307,0
fleeing people theyre also scared chance birth thing different,0.244,0
black friday stuff really irritates thing grip,0.333,0
emjreprohealth sexrelated risks judged harshly comparable health hazards reproductive health,0.189,0
matthaig depressed turns depression enough,0.7,1
pndandme baby blues postnatal depression usually dissipated around notice symptoms continuingtalk,0.27,0
finished breaking date homeland need series binge obsession,0.255,0
danielwaffle depression insomnia beat body mind pulp check sleeping diagnosed sleep apnea,0.252,0
ajplus absolutely despicable thinks owed priority others sickening authority gone wrong,0.411,2
ajplus virginia police officer tased peppersprayed medical emergency,0.271,0
genesimmons sounds like father horrified idolized cant wait tour ticket legendary night,0.219,0
days till lose voices singing yelling hysterically allphones concert counting anticipation,0.206,0
seanmcbay australia sent rebel wilson wrecking ball eurorvision,0.186,0
sophiehazell feel depressions real bitch look thing keeps going concentrate,0.467,2
sophiehazell suffered learnt control anxiety breathing techniques thought bullshit worked,0.554,2
whylarryisreal ever come time hopelessly endeared every thing harry styles,0.262,0
sdimpledh interviewer says skills finding larry proofs damn right hire,0.231,0
cant wake gorgeous instead ugly,0.685,1
calumsos niallofficial miss buddy,0.348,2
grumpycatqts look fucks dont give,0.437,2
jackmatthew ever wake like fuck still,0.35,2
jackmatthew probably never receive snapchat important gonna pretend sent,0.299,0
watching kanye painful switch,0.492,2
heres went wrong kanyes bbmas performance last night,0.307,0
dlarrygifs always remember katy perry larry fuck,0.368,2
jetaimelarry dead,0.811,1
edsheeran torikelly killed tonight,0.6,1
eonline everybody loves raymonds romano patricia heaton mourn sawyer sweetens death,0.364,2
earlier today psychologist appointment diagnosed depression anxiety,0.519,2
computer really needs stop pain right,0.602,1
bored right need something,0.412,2
annoyed right,0.722,1
hour delay tomorrow,0.535,2
really really hate doctor barely,0.516,2
heatherhordubay never like actual girl figured give,0.26,0
heatherhordubay still weird puts constantly,0.298,0
heatherhordubay completely aware fact dont care sees like secret,0.404,2
ohteenposts want kiss take cute pictures stupid dates also want kill making feel thin,0.331,0
havent talked friend days longest several months weve gone without talking,0.208,0
quarter seven want sleep tired early,0.354,2
bored nothing,0.677,1
bored need something,0.512,2
right fuck everything,0.636,1
stressed beyond breaking point need someone talk desperately,0.455,2
diagnosed depression could link bipolar,0.481,2
ggquotes blair learned hard cant control everything plan everything gossipgirl,0.135,0
unbracing dont want anyone know broken inside,0.464,2
unbracing fucking hate attached temporary people,0.444,2
personality either choose really nice choose total bitch depending person attitude,0.239,0
open letter scott walker stop perpetuating myth lazy professor,0.402,2
ianthorpe diagnosed depression anxiety attacks wanted comments really helped,0.58,1
think death suicide frequently know sign depression diagnosed,0.708,1
suicide always result depression,0.804,1
eustachian tube dysfunction headaches,0.483,2
tell pain nerve pain bulging disc pain,0.712,1
hydrocodoapap make anyone nervous,0.412,2
excedrin migraine caplets pain reliever packs,0.337,0
action plan high blood pressure,0.355,2
assisted suicide legalised people suffering depression,0.79,1
dealing panic attacks anxiety disorders,0.798,1
managing migraine migraine sufferers practical guide,0.405,2
police injustice benefit compilation,0.425,2
signs depression besides attempted suicide,0.732,1
head twitchesdizzinesslightheaded anxiety,0.459,2
disorder cause migraines aura,0.474,2
anybody suffer really dizziness using depo provera,0.368,2
anxiety depression workbook dummies,0.73,1
mayo clinic high blood pressure minutes,0.306,0
thyroid issues anxiety,0.459,2
depression kill without suicideis cure,0.737,1
ending depression cycle,0.649,1
severe headache migraine,0.565,2
causes severe headaches working,0.464,2
womens migraine survival guide complete uptodate resource causes migraine pain,0.268,0
bulging disc torn disc nerve spinal cord,0.25,0
antinausea pills cancer patients really hundreds dollars thing,0.386,2
heard champix recalled depression suicide true,0.586,1
would like know remedy excruciating headache,0.398,2
nausea comes depression anxiety,0.73,1
forced unpaid leave migraines vacation time available though,0.412,2
experiences severe headaches children,0.464,2
dont want lose years depression anxiety suicide medicine suggestions please,0.565,2
still pain tooth treatment,0.524,2
could cure soar throat headache blocked nose,0.259,0
dont want lose years depression anxiety suicide medicine suggestions please,0.565,2
taking medication depression thoughts suicide,0.732,1
chronic fatigue syndrome military service,0.333,0
dont find butt backwards teacher arrested,0.383,2
severe nausea fever throughout night cause,0.342,0
hormonally vulnerable woman relief last mood swings fatigue hair loss adult acne unwanted,0.422,2
know sure major depression thoughts suicide start,0.566,2
treatment sickness meaning actually causes nausea headaches irritation,0.32,0
bulging disc cause severe shoulder pain,0.596,1
relation genre music listened rate youth depression suicide,0.577,1
hate,1.0,1
titsonatrolli fucking idiot,0.642,1
someone issue someone nowadays wanna kick human race shit talk,0.286,0
titsonatrolli nobody texts saddens,0.492,2
aylalaroe gosh spelling lately horrendous asap nigga,0.388,2
like people iphones send obnoxious emojis,0.316,0
titsonatrolli suspicions people liking brush insecure piece shit feel like,0.466,2
cant taste smell anything hate sick killmenow,0.583,1
titsonatrolli hate explain people,0.552,2
cameronwoodin femalelies slut,0.655,1
hannahgreg facebook annoying right omfg,0.403,2
lindskardashian fuck tired,0.865,1
like blowing twitter feeds obnoxious tweets,0.316,0
autumgrady hell wheres,0.697,1
going write note maybe reads sober shell understand bullshit needs stop,0.4,2
going tweet obnoxiously actually fall asleep,0.398,2
cool extremely sick stuff especially since years,0.33,0
told diagnosed depression needed family doctor years later still cant find,0.27,0
threehares maybe wednesday thursday recovered trauma several days surgical floor,0.237,0
threehares double shifts next days doubt shape,0.294,0
already sick hearing burger week meat bread delcious,0.32,0
work complaints text couldnt rerostering started time everybody started pooping bleeding,0.213,0
hell wonderwall youll know hear hears first words lyrics yeah know,0.291,0
lights bullshit,0.792,1
think getting sick actual fuck immune system,0.523,2
angry salty working double shift,0.452,2
people cant pull crop tops people superglued crop,0.278,0
would worn black bralet strappies thought might boobalicious work green cami,0.18,0
feel need point wore green today complete accident,0.307,0
last short shorts leggings look damn fine thankyouverymuch,0.257,0
spetty also tweets came women girls stop tearing girls empower another,0.18,0
spetty girls wear whatever hell want,0.465,2
hurr hurr women dont like dont feel sexy nope never like,0.467,2
barf death forever,0.661,1
jennaaclb faving paper cuts,0.423,2
super rude across ferry gate half second faster shouted dont fucking rude,0.317,0
thesilentg lilyof makes need scream externally,0.351,2
totally stab caesar,0.672,1
alythomson sexual assault cases spark calls change nova scotia ctvatlantic,0.277,0
surgeon really surly last time hold call code scary place,0.262,0
maybe surgical ward much everything everyone seems different scary,0.286,0
hour tomorrow half surgical ward excuse weep,0.37,2
redo stack test results misfiled disinfect desk someone decided drop contaminated paperwork,0.16,0
understand daylight savings time hard head swear people abusing excuse stupid lazy today,0.581,1
screaming hilariously terrible guesses worst heads team,0.71,1
guys know gonna cranky losing hour soon remember sunlight,0.245,0
hfxginger exactly said someone kindly explained showed remorse took punishment monster,0.321,0
thesilentg didnt mention earlier great ashamed didnt great,0.66,1
dumb tweet made even madder getting dumb tweet think rageinduced aneurysm,0.524,2
feriancek upset best case scenario rape survivor watch rapist walk mostly free fuck right,0.48,2
feriancek saying qualified judge jury executioner opinion justice system failed victim,0.321,0
feriancek like yeah restrained girl raped hours still notallrapists,0.301,0
said heard phone notifications going silent last hour either ghost cracking,0.187,0
feeling kind useless feeling shit even feeling,0.418,2
around time freshman year diagnosed depression,0.425,2
hell shoots principal,0.697,1
flag football feeling sore hell,0.67,1
canadiantaylor hate accounting everything else,0.481,2
near death experience today almost died girl seemed like learning ride bike without training wheels,0.332,0
everything expect life need drop expectations flow life,0.231,0
gotta enemies,0.762,1
juicy bumps hard,0.412,2
lets drunk gamedaytobrookings,0.545,2
dalemoss need stop playing around bring gamedaytobrookings gojacks,0.22,0
mllockrem hmmm coach calls collegegameday possibility bunch wasted conversation elevate gamedaytobrookin,0.242,0
stlindgren october coming decision looms saturday collegegameday gamedaytobrookings,0.186,0
johnnyfootbali pitchers deep watching game told slow bean dipped saggy tits,0.16,0
tbell sounds bomb thats sioux falls,0.39,2
true fuck,0.556,2
funfact diagnosed ovarian cysts andor depression cannot afford care required rectify awesome,0.326,0
funfact diagnosed ovarian cysts andor depression cannot afford care required rectify awesome,0.326,0
sometimes forget diagnosed depression healthyliving bellsletstalk healthyminds,0.528,2
sometimes takes much energy leave house depression anxiety bellletstalk healthyminds,0.449,2
sometimes hard take things personally,0.259,0
bellletstalk myths mental illness contribute stigma learn facts bellletstalk howiemandel,0.231,0
kind bellletstalk depression anxiety mentalhealth healthyminds,0.458,2
spacecatpics fuck vibes,0.636,1
isolating sucks sometimes necessary depression anxiety bellletstalk healthyminds,0.612,1
check youre alone mental health mobile communication billy cross kickstarter bellletstalk,0.167,0
vinylarm serotonin brain could lead better targeted antidepressants depression mentalhealth http,0.237,0
healthyplace want higher selfesteem stop things mentalhealth depression anxiety bipolar,0.51,2
staying wants getting moving today depression bellletstalk healthyminds,0.346,2
mentalhealtham whats mental health label schizophrenia bipolar anxiety depression label define http,0.351,2
ottawasuncom story person dead missing barrhaven house fire crews still battling flames ottne,0.55,2
twothirds homeless people using urban shelters suffer mental illness bellletstalk healthyminds,0.408,2
moment million canadians suffering depression bellletstalk healthyminds,0.576,1
canadians said wouldnt socialize friend serious mental illness bellletstalk healthyminds,0.393,2
people suffer silence fearing judgment rejection bellletstalk healthyminds,0.682,1
mental health problems illnesses also account billion lost productivity costs bellletstalk,0.506,2
cmhahamilton mood anxiety disorders impact estimated canadian population mentalhealth anxiety mood hamont,0.254,0
mehepu canada stands tall global fight depression mentalillness canada depression mentalhealth mehepu,0.526,2
sometimes forget diagnosed depression healthyliving bellsletstalk healthyminds,0.528,2
sometimes takes much energy leave house depression anxiety bellletstalk healthyminds,0.449,2
sometimes hard take things personally,0.259,0
bellletstalk myths mental illness contribute stigma learn facts bellletstalk howiemandel,0.231,0
kind bellletstalk depression anxiety mentalhealth healthyminds,0.458,2
spacecatpics fuck vibes,0.636,1
isolating sucks sometimes necessary depression anxiety bellletstalk healthyminds,0.612,1
check youre alone mental health mobile communication billy cross kickstarter bellletstalk,0.167,0
vinylarm serotonin brain could lead better targeted antidepressants depression mentalhealth http,0.237,0
healthyplace want higher selfesteem stop things mentalhealth depression anxiety bipolar,0.51,2
staying wants getting moving today depression bellletstalk healthyminds,0.346,2
mentalhealtham whats mental health label schizophrenia bipolar anxiety depression label define http,0.351,2
ottawasuncom story person dead missing barrhaven house fire crews still battling flames ottne,0.55,2
twothirds homeless people using urban shelters suffer mental illness bellletstalk healthyminds,0.408,2
moment million canadians suffering depression bellletstalk healthyminds,0.576,1
canadians said wouldnt socialize friend serious mental illness bellletstalk healthyminds,0.393,2
people suffer silence fearing judgment rejection bellletstalk healthyminds,0.682,1
